Nov 16, 2019  11:25:46 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.81E-009, 
  1.10,   2.95E-009, 
  1.20,   3.34E-009, 
  1.30,   2.11E-008, 
  1.40,   9.30E-008, 
  1.50,   9.92E-008, 
  1.60,   8.01E-008, 
  1.70,   8.66E-008, 
  1.80,   9.22E-008, 
  1.90,   1.04E-007, 
  2.00,   1.04E-007, 
  2.10,   1.06E-007, 
  2.20,   8.86E-008, 
  2.30,   8.30E-008, 
  2.40,   6.34E-008, 
  2.50,   3.27E-008, 
  2.60,   1.34E-008, 
  2.70,   9.53E-009, 
  2.80,   8.75E-009, 
  2.90,   9.41E-009, 
  3.00,   1.11E-008, 
  3.10,   1.36E-008, 
  3.20,   1.85E-008, 
  3.30,   2.79E-008, 
  3.40,   4.80E-008, 
  3.50,   1.02E-007, 
  3.60,   2.88E-007, 
  3.70,   1.29E-006, 
  3.80,   2.62E-006, 
  3.90,   3.23E-006, 
  4.00,   4.29E-006, 
  4.10,   4.08E-006, 
  4.20,   3.87E-006, 
  4.30,   3.14E-006, 
  4.40,   2.26E-006, 
  4.50,   2.47E-007, 
  4.60,   1.77E-008, 
  4.70,   6.05E-009, 
  4.80,   2.44E-009, 
  4.90,   1.24E-009, 
  5.00,   6.43E-010, 
  5.10,   2.41E-010, 
  5.20,   5.63E-011, 
  5.30,  -6.33E-011, 
  5.40,  -1.62E-010, 
  5.50,  -2.23E-010, 
  5.60,  -2.27E-010, 
  5.70,  -2.25E-010, 
  5.80,  -2.16E-010, 
  5.90,  -2.05E-010, 
  6.00,  -1.78E-010, 
  6.10,  -1.31E-010, 
  6.20,  -1.37E-010, 
  6.30,  -1.69E-010, 
  6.40,  -1.86E-010, 
  6.50,  -1.56E-010, 
  6.60,  -1.43E-010, 
  6.70,  -1.49E-010, 
  6.80,  -1.62E-010, 
