Nov 16, 2019  11:32:34 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   3.31E-009, 
  1.10,   3.56E-009, 
  1.20,   4.35E-009, 
  1.30,   1.39E-008, 
  1.40,   9.84E-008, 
  1.50,   1.18E-007, 
  1.60,   7.11E-008, 
  1.70,   7.01E-008, 
  1.80,   8.06E-008, 
  1.90,   8.90E-008, 
  2.00,   9.67E-008, 
  2.10,   9.75E-008, 
  2.20,   9.05E-008, 
  2.30,   8.17E-008, 
  2.40,   6.56E-008, 
  2.50,   4.19E-008, 
  2.60,   1.59E-008, 
  2.70,   9.53E-009, 
  2.80,   8.07E-009, 
  2.90,   8.07E-009, 
  3.00,   9.10E-009, 
  3.10,   1.09E-008, 
  3.20,   1.41E-008, 
  3.30,   2.03E-008, 
  3.40,   3.23E-008, 
  3.50,   6.15E-008, 
  3.60,   1.50E-007, 
  3.70,   5.47E-007, 
  3.80,   2.06E-006, 
  3.90,   2.77E-006, 
  4.00,   3.57E-006, 
  4.10,   4.37E-006, 
  4.20,   3.52E-006, 
  4.30,   3.40E-006, 
  4.40,   2.61E-006, 
  4.50,   7.39E-007, 
  4.60,   2.98E-008, 
  4.70,   8.21E-009, 
  4.80,   3.30E-009, 
  4.90,   1.51E-009, 
  5.00,   7.14E-010, 
  5.10,   3.43E-010, 
  5.20,   7.41E-011, 
  5.30,  -1.02E-010, 
  5.40,  -1.16E-010, 
  5.50,  -1.55E-010, 
  5.60,  -1.94E-010, 
  5.70,  -2.18E-010, 
  5.80,  -2.08E-010, 
  5.90,  -1.78E-010, 
  6.00,  -2.05E-010, 
  6.10,  -2.21E-010, 
  6.20,  -2.37E-010, 
  6.30,  -2.27E-010, 
  6.40,  -1.99E-010, 
  6.50,  -1.94E-010, 
  6.60,  -1.71E-010, 
  6.70,  -1.56E-010, 
  6.80,  -1.56E-010, 
