Nov 16, 2019  02:34:15 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.21E-009, 
  1.10,   2.38E-009, 
  1.20,   2.57E-009, 
  1.30,   7.22E-009, 
  1.40,   3.35E-008, 
  1.50,   6.27E-008, 
  1.60,   5.27E-008, 
  1.70,   4.39E-008, 
  1.80,   4.05E-008, 
  1.90,   3.87E-008, 
  2.00,   3.79E-008, 
  2.10,   3.73E-008, 
  2.20,   3.41E-008, 
  2.30,   3.10E-008, 
  2.40,   2.63E-008, 
  2.50,   1.97E-008, 
  2.60,   1.26E-008, 
  2.70,   1.06E-008, 
  2.80,   1.07E-008, 
  2.90,   1.19E-008, 
  3.00,   1.41E-008, 
  3.10,   1.72E-008, 
  3.20,   2.31E-008, 
  3.30,   3.41E-008, 
  3.40,   5.52E-008, 
  3.50,   1.07E-007, 
  3.60,   2.54E-007, 
  3.70,   1.02E-006, 
  3.80,   3.03E-006, 
  3.90,   3.77E-006, 
  4.00,   5.21E-006, 
  4.10,   5.76E-006, 
  4.20,   4.97E-006, 
  4.30,   4.30E-006, 
  4.40,   3.36E-006, 
  4.50,   7.07E-007, 
  4.60,   2.76E-008, 
  4.70,   8.18E-009, 
  4.80,   3.41E-009, 
  4.90,   1.55E-009, 
  5.00,   7.38E-010, 
  5.10,   3.18E-010, 
  5.20,   2.38E-011, 
  5.30,  -1.30E-010, 
  5.40,  -1.48E-010, 
  5.50,  -2.05E-010, 
  5.60,  -2.32E-010, 
  5.70,  -2.28E-010, 
  5.80,  -1.92E-010, 
  5.90,  -1.27E-010, 
  6.00,  -1.48E-010, 
  6.10,  -1.67E-010, 
  6.20,  -1.40E-010, 
  6.30,  -1.30E-010, 
  6.40,  -8.84E-011, 
  6.50,  -3.73E-011, 
  6.60,  -6.85E-011, 
  6.70,  -7.71E-011, 
  6.80,  -7.15E-011, 
