Nov 16, 2019  02:29:54 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.06E-009, 
  1.10,   2.33E-009, 
  1.20,   2.75E-009, 
  1.30,   7.70E-009, 
  1.40,   3.84E-008, 
  1.50,   6.91E-008, 
  1.60,   5.47E-008, 
  1.70,   4.40E-008, 
  1.80,   4.00E-008, 
  1.90,   3.78E-008, 
  2.00,   3.69E-008, 
  2.10,   3.64E-008, 
  2.20,   3.36E-008, 
  2.30,   3.03E-008, 
  2.40,   2.61E-008, 
  2.50,   1.99E-008, 
  2.60,   1.31E-008, 
  2.70,   1.12E-008, 
  2.80,   1.12E-008, 
  2.90,   1.25E-008, 
  3.00,   1.48E-008, 
  3.10,   1.82E-008, 
  3.20,   2.41E-008, 
  3.30,   3.54E-008, 
  3.40,   5.73E-008, 
  3.50,   1.09E-007, 
  3.60,   2.60E-007, 
  3.70,   9.91E-007, 
  3.80,   3.01E-006, 
  3.90,   3.87E-006, 
  4.00,   5.58E-006, 
  4.10,   6.35E-006, 
  4.20,   5.59E-006, 
  4.30,   4.75E-006, 
  4.40,   3.60E-006, 
  4.50,   6.25E-007, 
  4.60,   2.74E-008, 
  4.70,   8.25E-009, 
  4.80,   3.48E-009, 
  4.90,   1.60E-009, 
  5.00,   7.88E-010, 
  5.10,   3.60E-010, 
  5.20,   1.58E-010, 
  5.30,  -5.33E-011, 
  5.40,  -1.84E-010, 
  5.50,  -1.50E-010, 
  5.60,  -2.24E-010, 
  5.70,  -2.57E-010, 
  5.80,  -2.65E-010, 
  5.90,  -2.69E-010, 
  6.00,  -2.67E-010, 
  6.10,  -2.73E-010, 
  6.20,  -2.03E-010, 
  6.30,  -1.12E-010, 
  6.40,  -4.12E-011, 
  6.50,  -7.41E-011, 
  6.60,  -1.07E-010, 
  6.70,  -9.71E-011, 
  6.80,  -1.04E-010, 
