Nov 16, 2019  02:21:45 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.57E-009, 
  1.10,   2.74E-009, 
  1.20,   3.06E-009, 
  1.30,   7.47E-009, 
  1.40,   3.96E-008, 
  1.50,   7.58E-008, 
  1.60,   6.01E-008, 
  1.70,   4.79E-008, 
  1.80,   4.26E-008, 
  1.90,   3.99E-008, 
  2.00,   3.90E-008, 
  2.10,   3.75E-008, 
  2.20,   3.44E-008, 
  2.30,   3.11E-008, 
  2.40,   2.68E-008, 
  2.50,   2.07E-008, 
  2.60,   1.39E-008, 
  2.70,   1.19E-008, 
  2.80,   1.21E-008, 
  2.90,   1.35E-008, 
  3.00,   1.60E-008, 
  3.10,   1.97E-008, 
  3.20,   2.63E-008, 
  3.30,   3.95E-008, 
  3.40,   6.47E-008, 
  3.50,   1.25E-007, 
  3.60,   3.10E-007, 
  3.70,   1.24E-006, 
  3.80,   3.21E-006, 
  3.90,   4.14E-006, 
  4.00,   5.75E-006, 
  4.10,   6.40E-006, 
  4.20,   5.56E-006, 
  4.30,   4.82E-006, 
  4.40,   3.66E-006, 
  4.50,   7.34E-007, 
  4.60,   2.87E-008, 
  4.70,   8.36E-009, 
  4.80,   3.38E-009, 
  4.90,   1.48E-009, 
  5.00,   7.13E-010, 
  5.10,   2.63E-010, 
  5.20,   1.52E-011, 
  5.30,  -9.66E-011, 
  5.40,  -1.66E-010, 
  5.50,  -2.09E-010, 
  5.60,  -1.91E-010, 
  5.70,  -2.24E-010, 
  5.80,  -2.06E-010, 
  5.90,  -2.31E-010, 
  6.00,  -1.96E-010, 
  6.10,  -2.05E-010, 
  6.20,  -1.53E-010, 
  6.30,  -1.59E-010, 
  6.40,  -1.47E-010, 
  6.50,  -1.33E-010, 
  6.60,  -1.40E-010, 
  6.70,  -1.92E-010, 
  6.80,  -2.03E-010, 
