Nov 16, 2019  02:27:11 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.46E-009, 
  1.10,   2.60E-009, 
  1.20,   3.06E-009, 
  1.30,   7.47E-009, 
  1.40,   3.86E-008, 
  1.50,   7.37E-008, 
  1.60,   5.76E-008, 
  1.70,   4.53E-008, 
  1.80,   4.10E-008, 
  1.90,   3.86E-008, 
  2.00,   3.79E-008, 
  2.10,   3.65E-008, 
  2.20,   3.38E-008, 
  2.30,   3.05E-008, 
  2.40,   2.62E-008, 
  2.50,   2.04E-008, 
  2.60,   1.34E-008, 
  2.70,   1.14E-008, 
  2.80,   1.13E-008, 
  2.90,   1.25E-008, 
  3.00,   1.50E-008, 
  3.10,   1.84E-008, 
  3.20,   2.41E-008, 
  3.30,   3.54E-008, 
  3.40,   5.65E-008, 
  3.50,   1.06E-007, 
  3.60,   2.52E-007, 
  3.70,   9.32E-007, 
  3.80,   2.94E-006, 
  3.90,   3.87E-006, 
  4.00,   5.43E-006, 
  4.10,   6.42E-006, 
  4.20,   5.47E-006, 
  4.30,   4.83E-006, 
  4.40,   3.68E-006, 
  4.50,   7.84E-007, 
  4.60,   2.99E-008, 
  4.70,   8.55E-009, 
  4.80,   3.47E-009, 
  4.90,   1.54E-009, 
  5.00,   6.96E-010, 
  5.10,   3.18E-010, 
  5.20,   1.21E-010, 
  5.30,  -3.68E-011, 
  5.40,  -1.29E-010, 
  5.50,  -1.66E-010, 
  5.60,  -1.98E-010, 
  5.70,  -1.95E-010, 
  5.80,  -1.42E-010, 
  5.90,  -9.62E-011, 
  6.00,  -1.38E-010, 
  6.10,  -1.46E-010, 
  6.20,  -1.66E-010, 
  6.30,  -1.87E-010, 
  6.40,  -2.24E-010, 
  6.50,  -1.99E-010, 
  6.60,  -1.87E-010, 
  6.70,  -2.56E-010, 
  6.80,  -2.30E-010, 
