Nov 16, 2019  02:19:01 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.17E-009, 
  1.10,   2.39E-009, 
  1.20,   2.72E-009, 
  1.30,   8.35E-009, 
  1.40,   3.93E-008, 
  1.50,   7.06E-008, 
  1.60,   5.98E-008, 
  1.70,   4.98E-008, 
  1.80,   4.44E-008, 
  1.90,   4.21E-008, 
  2.00,   4.04E-008, 
  2.10,   3.84E-008, 
  2.20,   3.38E-008, 
  2.30,   3.09E-008, 
  2.40,   2.62E-008, 
  2.50,   1.95E-008, 
  2.60,   1.37E-008, 
  2.70,   1.25E-008, 
  2.80,   1.30E-008, 
  2.90,   1.48E-008, 
  3.00,   1.79E-008, 
  3.10,   2.23E-008, 
  3.20,   3.10E-008, 
  3.30,   4.81E-008, 
  3.40,   8.09E-008, 
  3.50,   1.67E-007, 
  3.60,   4.66E-007, 
  3.70,   1.96E-006, 
  3.80,   3.75E-006, 
  3.90,   4.74E-006, 
  4.00,   6.50E-006, 
  4.10,   6.17E-006, 
  4.20,   5.90E-006, 
  4.30,   4.66E-006, 
  4.40,   3.26E-006, 
  4.50,   3.09E-007, 
  4.60,   2.13E-008, 
  4.70,   7.11E-009, 
  4.80,   3.01E-009, 
  4.90,   1.45E-009, 
  5.00,   6.51E-010, 
  5.10,   2.74E-010, 
  5.20,   7.76E-011, 
  5.30,  -4.90E-011, 
  5.40,  -1.10E-010, 
  5.50,  -1.66E-010, 
  5.60,  -2.26E-010, 
  5.70,  -2.66E-010, 
  5.80,  -2.90E-010, 
  5.90,  -2.22E-010, 
  6.00,  -1.57E-010, 
  6.10,  -1.15E-010, 
  6.20,  -8.02E-011, 
  6.30,  -7.54E-011, 
  6.40,  -1.05E-010, 
  6.50,  -1.23E-010, 
  6.60,  -1.03E-010, 
  6.70,  -1.17E-010, 
  6.80,  -1.35E-010, 
