Nov 16, 2019  02:23:06 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.27E-009, 
  1.10,   2.35E-009, 
  1.20,   2.70E-009, 
  1.30,   7.77E-009, 
  1.40,   3.87E-008, 
  1.50,   7.10E-008, 
  1.60,   5.75E-008, 
  1.70,   4.67E-008, 
  1.80,   4.21E-008, 
  1.90,   3.98E-008, 
  2.00,   3.86E-008, 
  2.10,   3.71E-008, 
  2.20,   3.36E-008, 
  2.30,   3.06E-008, 
  2.40,   2.60E-008, 
  2.50,   1.97E-008, 
  2.60,   1.33E-008, 
  2.70,   1.17E-008, 
  2.80,   1.20E-008, 
  2.90,   1.33E-008, 
  3.00,   1.58E-008, 
  3.10,   1.95E-008, 
  3.20,   2.64E-008, 
  3.30,   4.00E-008, 
  3.40,   6.49E-008, 
  3.50,   1.27E-007, 
  3.60,   3.14E-007, 
  3.70,   1.28E-006, 
  3.80,   3.21E-006, 
  3.90,   4.08E-006, 
  4.00,   5.81E-006, 
  4.10,   6.22E-006, 
  4.20,   5.56E-006, 
  4.30,   4.64E-006, 
  4.40,   3.47E-006, 
  4.50,   5.41E-007, 
  4.60,   2.51E-008, 
  4.70,   7.82E-009, 
  4.80,   3.26E-009, 
  4.90,   1.47E-009, 
  5.00,   6.92E-010, 
  5.10,   2.71E-010, 
  5.20,   3.12E-011, 
  5.30,  -8.15E-011, 
  5.40,  -1.08E-010, 
  5.50,  -1.07E-010, 
  5.60,  -1.49E-010, 
  5.70,  -1.71E-010, 
  5.80,  -1.72E-010, 
  5.90,  -9.88E-011, 
  6.00,  -1.46E-010, 
  6.10,  -1.40E-010, 
  6.20,  -1.23E-010, 
  6.30,  -1.31E-010, 
  6.40,  -1.72E-010, 
  6.50,  -1.73E-010, 
  6.60,  -1.69E-010, 
  6.70,  -1.42E-010, 
  6.80,  -6.93E-011, 
