Nov 22, 2019  10:44:03 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.33E-009, 
  1.10,   1.38E-009, 
  1.20,   1.58E-009, 
  1.30,   1.71E-008, 
  1.40,   5.89E-008, 
  1.50,   4.53E-008, 
  1.60,   3.40E-008, 
  1.70,   3.65E-008, 
  1.80,   4.12E-008, 
  1.90,   4.55E-008, 
  2.00,   4.88E-008, 
  2.10,   4.48E-008, 
  2.20,   4.04E-008, 
  2.30,   3.69E-008, 
  2.40,   2.82E-008, 
  2.50,   1.45E-008, 
  2.60,   6.51E-009, 
  2.70,   3.86E-009, 
  2.80,   2.84E-009, 
  2.90,   2.61E-009, 
  3.00,   2.76E-009, 
  3.10,   3.22E-009, 
  3.20,   4.38E-009, 
  3.30,   6.25E-009, 
  3.40,   1.02E-008, 
  3.50,   2.12E-008, 
  3.60,   8.06E-008, 
  3.70,   4.34E-007, 
  3.80,   7.13E-007, 
  3.90,   1.06E-006, 
  4.00,   1.14E-006, 
  4.10,   1.12E-006, 
  4.20,   1.03E-006, 
  4.30,   8.43E-007, 
  4.40,   5.26E-007, 
  4.50,   4.96E-008, 
  4.60,   8.89E-009, 
  4.70,   3.29E-009, 
  4.80,   1.40E-009, 
  4.90,   6.51E-010, 
  5.00,   2.99E-010, 
  5.10,   3.51E-011, 
  5.20,  -1.05E-010, 
  5.30,  -1.81E-010, 
  5.40,  -2.34E-010, 
  5.50,  -2.35E-010, 
  5.60,  -2.41E-010, 
  5.70,  -3.13E-010, 
  5.80,  -2.31E-010, 
  5.90,  -2.43E-010, 
  6.00,  -1.62E-010, 
  6.10,  -1.62E-010, 
  6.20,  -1.76E-010, 
  6.30,  -1.69E-010, 
  6.40,  -2.16E-010, 
  6.50,  -1.88E-010, 
  6.60,  -1.23E-010, 
  6.70,  -1.86E-010, 
  6.80,  -1.53E-010, 
