Nov 22, 2019  10:39:59 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   9.73E-010, 
  1.10,   1.14E-009, 
  1.20,   1.54E-009, 
  1.30,   2.36E-008, 
  1.40,   4.78E-008, 
  1.50,   3.65E-008, 
  1.60,   4.66E-008, 
  1.70,   5.38E-008, 
  1.80,   5.81E-008, 
  1.90,   6.58E-008, 
  2.00,   6.33E-008, 
  2.10,   5.92E-008, 
  2.20,   5.24E-008, 
  2.30,   4.52E-008, 
  2.40,   3.13E-008, 
  2.50,   1.22E-008, 
  2.60,   5.95E-009, 
  2.70,   3.79E-009, 
  2.80,   2.94E-009, 
  2.90,   3.00E-009, 
  3.00,   3.34E-009, 
  3.10,   4.22E-009, 
  3.20,   5.68E-009, 
  3.30,   8.55E-009, 
  3.40,   1.58E-008, 
  3.50,   4.00E-008, 
  3.60,   2.23E-007, 
  3.70,   6.52E-007, 
  3.80,   9.48E-007, 
  3.90,   1.27E-006, 
  4.00,   1.32E-006, 
  4.10,   1.18E-006, 
  4.20,   1.16E-006, 
  4.30,   8.61E-007, 
  4.40,   3.57E-007, 
  4.50,   2.42E-008, 
  4.60,   6.71E-009, 
  4.70,   2.53E-009, 
  4.80,   1.21E-009, 
  4.90,   5.63E-010, 
  5.00,   2.32E-010, 
  5.10,   3.08E-011, 
  5.20,  -5.24E-011, 
  5.30,  -1.44E-010, 
  5.40,  -1.93E-010, 
  5.50,  -1.77E-010, 
  5.60,  -1.50E-010, 
  5.70,  -1.56E-010, 
  5.80,  -1.84E-010, 
  5.90,  -1.42E-010, 
  6.00,  -1.68E-010, 
  6.10,  -1.64E-010, 
  6.20,  -1.26E-010, 
  6.30,  -1.20E-010, 
  6.40,  -1.42E-010, 
  6.50,  -1.69E-010, 
  6.60,  -2.03E-010, 
  6.70,  -1.22E-010, 
  6.80,  -6.20E-011, 
