Nov 16, 2019  12:30:25 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.11E-009, 
  1.10,   2.10E-009, 
  1.20,   2.33E-009, 
  1.30,   6.53E-009, 
  1.40,   3.08E-008, 
  1.50,   6.30E-008, 
  1.60,   5.35E-008, 
  1.70,   4.32E-008, 
  1.80,   3.88E-008, 
  1.90,   3.61E-008, 
  2.00,   3.50E-008, 
  2.10,   3.40E-008, 
  2.20,   3.13E-008, 
  2.30,   2.81E-008, 
  2.40,   2.42E-008, 
  2.50,   1.90E-008, 
  2.60,   1.26E-008, 
  2.70,   1.07E-008, 
  2.80,   1.06E-008, 
  2.90,   1.17E-008, 
  3.00,   1.40E-008, 
  3.10,   1.72E-008, 
  3.20,   2.26E-008, 
  3.30,   3.31E-008, 
  3.40,   5.35E-008, 
  3.50,   1.01E-007, 
  3.60,   2.37E-007, 
  3.70,   8.90E-007, 
  3.80,   3.08E-006, 
  3.90,   4.02E-006, 
  4.00,   5.35E-006, 
  4.10,   6.29E-006, 
  4.20,   5.24E-006, 
  4.30,   4.75E-006, 
  4.40,   3.66E-006, 
  4.50,   9.00E-007, 
  4.60,   3.22E-008, 
  4.70,   8.82E-009, 
  4.80,   3.64E-009, 
  4.90,   1.56E-009, 
  5.00,   6.78E-010, 
  5.10,   2.32E-010, 
  5.20,  -5.98E-011, 
  5.30,  -1.61E-010, 
  5.40,  -2.50E-010, 
  5.50,  -2.86E-010, 
  5.60,  -3.07E-010, 
  5.70,  -3.38E-010, 
  5.80,  -3.23E-010, 
  5.90,  -2.82E-010, 
  6.00,  -2.93E-010, 
  6.10,  -2.90E-010, 
  6.20,  -2.64E-010, 
  6.30,  -2.65E-010, 
  6.40,  -2.61E-010, 
  6.50,  -2.72E-010, 
  6.60,  -2.06E-010, 
  6.70,  -1.63E-010, 
  6.80,  -1.83E-010, 
