Nov 18, 2019  10:12:29 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.83E-009, 
  1.10,   1.86E-009, 
  1.20,   2.18E-009, 
  1.30,   1.00E-008, 
  1.40,   7.03E-008, 
  1.50,   7.41E-008, 
  1.60,   3.77E-008, 
  1.70,   3.36E-008, 
  1.80,   3.93E-008, 
  1.90,   4.47E-008, 
  2.00,   5.20E-008, 
  2.10,   5.11E-008, 
  2.20,   4.74E-008, 
  2.30,   4.18E-008, 
  2.40,   3.52E-008, 
  2.50,   2.29E-008, 
  2.60,   9.39E-009, 
  2.70,   5.17E-009, 
  2.80,   3.52E-009, 
  2.90,   3.09E-009, 
  3.00,   3.28E-009, 
  3.10,   3.80E-009, 
  3.20,   4.77E-009, 
  3.30,   6.22E-009, 
  3.40,   9.59E-009, 
  3.50,   1.71E-008, 
  3.60,   4.48E-008, 
  3.70,   2.18E-007, 
  3.80,   6.96E-007, 
  3.90,   1.08E-006, 
  4.00,   1.37E-006, 
  4.10,   1.58E-006, 
  4.20,   1.26E-006, 
  4.30,   1.24E-006, 
  4.40,   9.03E-007, 
  4.50,   2.55E-007, 
  4.60,   1.70E-008, 
  4.70,   5.46E-009, 
  4.80,   2.17E-009, 
  4.90,   9.77E-010, 
  5.00,   3.99E-010, 
  5.10,   1.56E-010, 
  5.20,  -9.71E-011, 
  5.30,  -2.12E-010, 
  5.40,  -2.69E-010, 
  5.50,  -3.20E-010, 
  5.60,  -3.42E-010, 
  5.70,  -3.86E-010, 
  5.80,  -2.94E-010, 
  5.90,  -2.57E-010, 
  6.00,  -3.13E-010, 
  6.10,  -2.86E-010, 
  6.20,  -3.01E-010, 
  6.30,  -2.93E-010, 
  6.40,  -3.01E-010, 
  6.50,  -2.79E-010, 
  6.60,  -2.61E-010, 
  6.70,  -2.20E-010, 
  6.80,  -1.75E-010, 
