Nov 17, 2019  05:22:57 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.92E-009, 
  1.10,   2.03E-009, 
  1.20,   2.24E-009, 
  1.30,   1.68E-008, 
  1.40,   7.95E-008, 
  1.50,   8.90E-008, 
  1.60,   7.70E-008, 
  1.70,   8.24E-008, 
  1.80,   8.65E-008, 
  1.90,   9.75E-008, 
  2.00,   9.78E-008, 
  2.10,   9.52E-008, 
  2.20,   8.21E-008, 
  2.30,   7.65E-008, 
  2.40,   5.65E-008, 
  2.50,   2.91E-008, 
  2.60,   1.15E-008, 
  2.70,   7.70E-009, 
  2.80,   6.82E-009, 
  2.90,   7.08E-009, 
  3.00,   8.29E-009, 
  3.10,   1.03E-008, 
  3.20,   1.39E-008, 
  3.30,   2.18E-008, 
  3.40,   3.85E-008, 
  3.50,   8.55E-008, 
  3.60,   2.90E-007, 
  3.70,   1.24E-006, 
  3.80,   2.15E-006, 
  3.90,   2.80E-006, 
  4.00,   3.34E-006, 
  4.10,   3.18E-006, 
  4.20,   3.00E-006, 
  4.30,   2.39E-006, 
  4.40,   1.70E-006, 
  4.50,   1.88E-007, 
  4.60,   1.54E-008, 
  4.70,   5.25E-009, 
  4.80,   2.17E-009, 
  4.90,   9.63E-010, 
  5.00,   3.97E-010, 
  5.10,   5.98E-011, 
  5.20,  -8.19E-011, 
  5.30,  -1.69E-010, 
  5.40,  -2.05E-010, 
  5.50,  -3.11E-010, 
  5.60,  -3.21E-010, 
  5.70,  -3.11E-010, 
  5.80,  -2.86E-010, 
  5.90,  -2.14E-010, 
  6.00,  -1.97E-010, 
  6.10,  -1.88E-010, 
  6.20,  -2.30E-010, 
  6.30,  -2.11E-010, 
  6.40,  -2.31E-010, 
  6.50,  -2.29E-010, 
  6.60,  -2.53E-010, 
  6.70,  -2.04E-010, 
  6.80,  -1.77E-010, 
