Nov 16, 2019  08:34:13 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.17E-009, 
  1.10,   2.26E-009, 
  1.20,   2.60E-009, 
  1.30,   7.06E-009, 
  1.40,   3.30E-008, 
  1.50,   6.46E-008, 
  1.60,   5.37E-008, 
  1.70,   4.32E-008, 
  1.80,   3.94E-008, 
  1.90,   3.69E-008, 
  2.00,   3.59E-008, 
  2.10,   3.53E-008, 
  2.20,   3.28E-008, 
  2.30,   2.97E-008, 
  2.40,   2.55E-008, 
  2.50,   1.97E-008, 
  2.60,   1.29E-008, 
  2.70,   1.09E-008, 
  2.80,   1.10E-008, 
  2.90,   1.21E-008, 
  3.00,   1.44E-008, 
  3.10,   1.74E-008, 
  3.20,   2.29E-008, 
  3.30,   3.34E-008, 
  3.40,   5.35E-008, 
  3.50,   1.00E-007, 
  3.60,   2.32E-007, 
  3.70,   8.22E-007, 
  3.80,   3.05E-006, 
  3.90,   4.02E-006, 
  4.00,   5.45E-006, 
  4.10,   6.49E-006, 
  4.20,   5.47E-006, 
  4.30,   4.88E-006, 
  4.40,   3.80E-006, 
  4.50,   9.05E-007, 
  4.60,   3.25E-008, 
  4.70,   9.07E-009, 
  4.80,   3.72E-009, 
  4.90,   1.70E-009, 
  5.00,   8.08E-010, 
  5.10,   3.91E-010, 
  5.20,   8.06E-011, 
  5.30,  -7.63E-011, 
  5.40,  -1.50E-010, 
  5.50,  -2.00E-010, 
  5.60,  -2.82E-010, 
  5.70,  -2.55E-010, 
  5.80,  -2.65E-010, 
  5.90,  -2.55E-010, 
  6.00,  -3.00E-010, 
  6.10,  -2.96E-010, 
  6.20,  -2.76E-010, 
  6.30,  -2.07E-010, 
  6.40,  -1.81E-010, 
  6.50,  -1.40E-010, 
  6.60,  -1.34E-010, 
  6.70,  -5.55E-011, 
  6.80,  -2.99E-011, 
