Nov 16, 2019  08:27:25 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.11E-009, 
  1.10,   2.29E-009, 
  1.20,   2.60E-009, 
  1.30,   7.54E-009, 
  1.40,   3.45E-008, 
  1.50,   6.71E-008, 
  1.60,   5.75E-008, 
  1.70,   4.78E-008, 
  1.80,   4.32E-008, 
  1.90,   4.09E-008, 
  2.00,   3.97E-008, 
  2.10,   3.84E-008, 
  2.20,   3.48E-008, 
  2.30,   3.20E-008, 
  2.40,   2.71E-008, 
  2.50,   2.05E-008, 
  2.60,   1.36E-008, 
  2.70,   1.17E-008, 
  2.80,   1.19E-008, 
  2.90,   1.35E-008, 
  3.00,   1.62E-008, 
  3.10,   2.00E-008, 
  3.20,   2.67E-008, 
  3.30,   3.99E-008, 
  3.40,   6.46E-008, 
  3.50,   1.25E-007, 
  3.60,   3.02E-007, 
  3.70,   1.23E-006, 
  3.80,   3.48E-006, 
  3.90,   4.35E-006, 
  4.00,   5.97E-006, 
  4.10,   6.55E-006, 
  4.20,   5.67E-006, 
  4.30,   4.88E-006, 
  4.40,   3.77E-006, 
  4.50,   7.78E-007, 
  4.60,   2.91E-008, 
  4.70,   8.42E-009, 
  4.80,   3.43E-009, 
  4.90,   1.54E-009, 
  5.00,   7.22E-010, 
  5.10,   2.93E-010, 
  5.20,  -2.17E-012, 
  5.30,  -1.07E-010, 
  5.40,  -1.44E-010, 
  5.50,  -2.23E-010, 
  5.60,  -3.04E-010, 
  5.70,  -3.72E-010, 
  5.80,  -3.05E-010, 
  5.90,  -2.44E-010, 
  6.00,  -2.73E-010, 
  6.10,  -2.43E-010, 
  6.20,  -1.78E-010, 
  6.30,  -2.25E-010, 
  6.40,  -2.23E-010, 
  6.50,  -1.89E-010, 
  6.60,  -1.40E-010, 
  6.70,  -1.73E-010, 
  6.80,  -1.79E-010, 
