Nov 16, 2019  04:23:46 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.30E-009, 
  1.10,   1.44E-009, 
  1.20,   1.72E-009, 
  1.30,   6.41E-009, 
  1.40,   2.60E-008, 
  1.50,   4.38E-008, 
  1.60,   3.82E-008, 
  1.70,   3.37E-008, 
  1.80,   3.21E-008, 
  1.90,   3.19E-008, 
  2.00,   3.15E-008, 
  2.10,   3.19E-008, 
  2.20,   2.88E-008, 
  2.30,   2.61E-008, 
  2.40,   2.19E-008, 
  2.50,   1.57E-008, 
  2.60,   1.01E-008, 
  2.70,   8.42E-009, 
  2.80,   8.16E-009, 
  2.90,   8.79E-009, 
  3.00,   1.02E-008, 
  3.10,   1.25E-008, 
  3.20,   1.68E-008, 
  3.30,   2.44E-008, 
  3.40,   4.00E-008, 
  3.50,   7.91E-008, 
  3.60,   1.90E-007, 
  3.70,   8.05E-007, 
  3.80,   2.45E-006, 
  3.90,   2.99E-006, 
  4.00,   4.35E-006, 
  4.10,   4.43E-006, 
  4.20,   4.11E-006, 
  4.30,   3.30E-006, 
  4.40,   2.41E-006, 
  4.50,   2.77E-007, 
  4.60,   1.91E-008, 
  4.70,   6.52E-009, 
  4.80,   2.75E-009, 
  4.90,   1.32E-009, 
  5.00,   6.27E-010, 
  5.10,   2.33E-010, 
  5.20,  -2.51E-011, 
  5.30,  -1.61E-010, 
  5.40,  -2.46E-010, 
  5.50,  -2.69E-010, 
  5.60,  -2.36E-010, 
  5.70,  -2.44E-010, 
  5.80,  -1.82E-010, 
  5.90,  -1.53E-010, 
  6.00,  -1.65E-010, 
  6.10,  -2.14E-010, 
  6.20,  -2.21E-010, 
  6.30,  -2.30E-010, 
  6.40,  -2.69E-010, 
  6.50,  -2.33E-010, 
  6.60,  -2.47E-010, 
  6.70,  -2.48E-010, 
  6.80,  -1.90E-010, 
