Nov 17, 2019  01:06:58 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.23E-009, 
  1.10,   2.36E-009, 
  1.20,   2.61E-009, 
  1.30,   1.49E-008, 
  1.40,   7.48E-008, 
  1.50,   8.39E-008, 
  1.60,   6.71E-008, 
  1.70,   7.15E-008, 
  1.80,   7.63E-008, 
  1.90,   8.42E-008, 
  2.00,   8.61E-008, 
  2.10,   8.46E-008, 
  2.20,   7.32E-008, 
  2.30,   6.86E-008, 
  2.40,   5.17E-008, 
  2.50,   2.76E-008, 
  2.60,   1.14E-008, 
  2.70,   7.76E-009, 
  2.80,   6.88E-009, 
  2.90,   7.15E-009, 
  3.00,   8.25E-009, 
  3.10,   1.02E-008, 
  3.20,   1.36E-008, 
  3.30,   2.07E-008, 
  3.40,   3.58E-008, 
  3.50,   7.68E-008, 
  3.60,   2.39E-007, 
  3.70,   1.05E-006, 
  3.80,   2.05E-006, 
  3.90,   2.67E-006, 
  4.00,   3.34E-006, 
  4.10,   3.27E-006, 
  4.20,   3.03E-006, 
  4.30,   2.48E-006, 
  4.40,   1.75E-006, 
  4.50,   2.11E-007, 
  4.60,   1.61E-008, 
  4.70,   5.58E-009, 
  4.80,   2.23E-009, 
  4.90,   1.04E-009, 
  5.00,   4.74E-010, 
  5.10,   1.88E-010, 
  5.20,   1.30E-012, 
  5.30,  -6.85E-011, 
  5.40,  -9.58E-011, 
  5.50,  -1.76E-010, 
  5.60,  -1.72E-010, 
  5.70,  -1.73E-010, 
  5.80,  -2.09E-010, 
  5.90,  -2.08E-010, 
  6.00,  -2.21E-010, 
  6.10,  -1.82E-010, 
  6.20,  -1.62E-010, 
  6.30,  -1.72E-010, 
  6.40,  -1.87E-010, 
  6.50,  -1.10E-010, 
  6.60,  -1.50E-010, 
  6.70,  -1.59E-010, 
  6.80,  -1.80E-010, 
