Nov 16, 2019  12:08:28 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.28E-009, 
  1.10,   2.45E-009, 
  1.20,   2.74E-009, 
  1.30,   7.43E-009, 
  1.40,   3.68E-008, 
  1.50,   6.73E-008, 
  1.60,   5.50E-008, 
  1.70,   4.59E-008, 
  1.80,   4.24E-008, 
  1.90,   4.07E-008, 
  2.00,   4.01E-008, 
  2.10,   3.95E-008, 
  2.20,   3.61E-008, 
  2.30,   3.24E-008, 
  2.40,   2.75E-008, 
  2.50,   2.09E-008, 
  2.60,   1.33E-008, 
  2.70,   1.10E-008, 
  2.80,   1.10E-008, 
  2.90,   1.22E-008, 
  3.00,   1.44E-008, 
  3.10,   1.77E-008, 
  3.20,   2.34E-008, 
  3.30,   3.41E-008, 
  3.40,   5.51E-008, 
  3.50,   1.06E-007, 
  3.60,   2.48E-007, 
  3.70,   9.64E-007, 
  3.80,   3.07E-006, 
  3.90,   3.84E-006, 
  4.00,   5.25E-006, 
  4.10,   5.99E-006, 
  4.20,   5.07E-006, 
  4.30,   4.46E-006, 
  4.40,   3.51E-006, 
  4.50,   8.22E-007, 
  4.60,   3.04E-008, 
  4.70,   8.59E-009, 
  4.80,   3.60E-009, 
  4.90,   1.64E-009, 
  5.00,   8.15E-010, 
  5.10,   3.86E-010, 
  5.20,   8.80E-011, 
  5.30,  -9.66E-011, 
  5.40,  -1.93E-010, 
  5.50,  -2.09E-010, 
  5.60,  -2.34E-010, 
  5.70,  -2.38E-010, 
  5.80,  -2.04E-010, 
  5.90,  -2.61E-010, 
  6.00,  -2.45E-010, 
  6.10,  -2.57E-010, 
  6.20,  -2.05E-010, 
  6.30,  -1.79E-010, 
  6.40,  -8.67E-011, 
  6.50,  -6.93E-011, 
  6.60,  -7.24E-011, 
  6.70,  -8.15E-011, 
  6.80,  -8.45E-011, 
