Nov 15, 2019  05:39:50 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.56E-009, 
  1.10,   1.72E-009, 
  1.20,   1.97E-009, 
  1.30,   1.70E-008, 
  1.40,   1.43E-007, 
  1.50,   1.40E-007, 
  1.60,   1.00E-007, 
  1.70,   1.26E-007, 
  1.80,   1.48E-007, 
  1.90,   1.75E-007, 
  2.00,   1.84E-007, 
  2.10,   1.88E-007, 
  2.20,   1.63E-007, 
  2.30,   1.54E-007, 
  2.40,   1.14E-007, 
  2.50,   6.05E-008, 
  2.60,   1.40E-008, 
  2.70,   5.27E-009, 
  2.80,   2.40E-009, 
  2.90,   1.37E-009, 
  3.00,   8.05E-010, 
  3.10,   5.07E-010, 
  3.20,   3.45E-010, 
  3.30,   2.44E-010, 
  3.40,   2.12E-010, 
  3.50,   1.59E-010, 
  3.60,   2.53E-010, 
  3.70,   5.26E-010, 
  3.80,   1.64E-009, 
  3.90,   3.50E-009, 
  4.00,   5.35E-009, 
  4.10,   6.95E-009, 
  4.20,   7.17E-009, 
  4.30,   7.27E-009, 
  4.40,   6.40E-009, 
  4.50,   4.56E-009, 
  4.60,   2.18E-009, 
  4.70,   1.17E-009, 
  4.80,   6.56E-010, 
  4.90,   3.24E-010, 
  5.00,   1.95E-010, 
  5.10,   9.10E-011, 
  5.20,   3.29E-011, 
  5.30,  -2.17E-011, 
  5.40,  -9.84E-011, 
  5.50,  -7.54E-011, 
  5.60,  -6.50E-011, 
  5.70,  -1.13E-010, 
  5.80,  -8.10E-011, 
  5.90,  -1.27E-010, 
  6.00,  -1.59E-010, 
  6.10,  -9.36E-011, 
  6.20,  -4.03E-011, 
  6.30,  -2.30E-011, 
  6.40,  -4.29E-011, 
  6.50,  -5.50E-011, 
  6.60,  -1.86E-011, 
  6.70,  -3.86E-011, 
  6.80,  -8.58E-011, 
