Nov 17, 2019  07:22:09 AM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.74E-009, 
  1.10,   2.96E-009, 
  1.20,   3.29E-009, 
  1.30,   1.88E-008, 
  1.40,   9.41E-008, 
  1.50,   9.35E-008, 
  1.60,   6.19E-008, 
  1.70,   6.43E-008, 
  1.80,   7.06E-008, 
  1.90,   7.78E-008, 
  2.00,   8.38E-008, 
  2.10,   8.18E-008, 
  2.20,   7.17E-008, 
  2.30,   6.65E-008, 
  2.40,   5.17E-008, 
  2.50,   2.92E-008, 
  2.60,   1.17E-008, 
  2.70,   7.69E-009, 
  2.80,   6.60E-009, 
  2.90,   6.53E-009, 
  3.00,   7.49E-009, 
  3.10,   8.93E-009, 
  3.20,   1.16E-008, 
  3.30,   1.76E-008, 
  3.40,   2.92E-008, 
  3.50,   5.88E-008, 
  3.60,   1.68E-007, 
  3.70,   7.57E-007, 
  3.80,   1.79E-006, 
  3.90,   2.42E-006, 
  4.00,   3.01E-006, 
  4.10,   3.19E-006, 
  4.20,   2.75E-006, 
  4.30,   2.42E-006, 
  4.40,   1.77E-006, 
  4.50,   3.07E-007, 
  4.60,   1.77E-008, 
  4.70,   5.86E-009, 
  4.80,   2.36E-009, 
  4.90,   1.13E-009, 
  5.00,   4.70E-010, 
  5.10,   9.92E-011, 
  5.20,  -1.52E-011, 
  5.30,  -1.33E-010, 
  5.40,  -1.60E-010, 
  5.50,  -1.73E-010, 
  5.60,  -2.19E-010, 
  5.70,  -2.39E-010, 
  5.80,  -2.99E-010, 
  5.90,  -2.74E-010, 
  6.00,  -2.44E-010, 
  6.10,  -2.03E-010, 
  6.20,  -1.95E-010, 
  6.30,  -1.33E-010, 
  6.40,  -1.70E-010, 
  6.50,  -1.96E-010, 
  6.60,  -1.55E-010, 
  6.70,  -1.90E-010, 
  6.80,  -1.52E-010, 
