Nov 16, 2019  07:12:48 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.63E-009, 
  1.10,   1.73E-009, 
  1.20,   1.97E-009, 
  1.30,   9.21E-009, 
  1.40,   5.20E-008, 
  1.50,   7.54E-008, 
  1.60,   6.79E-008, 
  1.70,   7.14E-008, 
  1.80,   7.65E-008, 
  1.90,   8.84E-008, 
  2.00,   9.13E-008, 
  2.10,   9.18E-008, 
  2.20,   7.63E-008, 
  2.30,   7.07E-008, 
  2.40,   5.46E-008, 
  2.50,   3.06E-008, 
  2.60,   1.27E-008, 
  2.70,   8.70E-009, 
  2.80,   7.83E-009, 
  2.90,   8.17E-009, 
  3.00,   9.43E-009, 
  3.10,   1.15E-008, 
  3.20,   1.58E-008, 
  3.30,   2.35E-008, 
  3.40,   3.98E-008, 
  3.50,   8.41E-008, 
  3.60,   2.35E-007, 
  3.70,   9.99E-007, 
  3.80,   2.06E-006, 
  3.90,   2.58E-006, 
  4.00,   3.40E-006, 
  4.10,   3.18E-006, 
  4.20,   2.99E-006, 
  4.30,   2.42E-006, 
  4.40,   1.83E-006, 
  4.50,   2.59E-007, 
  4.60,   1.78E-008, 
  4.70,   6.00E-009, 
  4.80,   2.40E-009, 
  4.90,   1.05E-009, 
  5.00,   4.32E-010, 
  5.10,   1.36E-010, 
  5.20,   6.50E-012, 
  5.30,  -9.23E-011, 
  5.40,  -1.50E-010, 
  5.50,  -1.84E-010, 
  5.60,  -2.30E-010, 
  5.70,  -2.51E-010, 
  5.80,  -2.50E-010, 
  5.90,  -2.37E-010, 
  6.00,  -2.38E-010, 
  6.10,  -2.06E-010, 
  6.20,  -2.19E-010, 
  6.30,  -2.05E-010, 
  6.40,  -2.13E-010, 
  6.50,  -2.77E-010, 
  6.60,  -2.30E-010, 
  6.70,  -2.24E-010, 
  6.80,  -1.57E-010, 
