Nov 18, 2019  04:42:04 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   2.05E-009, 
  1.10,   2.18E-009, 
  1.20,   2.41E-009, 
  1.30,   1.08E-008, 
  1.40,   8.02E-008, 
  1.50,   8.31E-008, 
  1.60,   3.99E-008, 
  1.70,   3.45E-008, 
  1.80,   3.97E-008, 
  1.90,   4.45E-008, 
  2.00,   5.19E-008, 
  2.10,   5.13E-008, 
  2.20,   4.77E-008, 
  2.30,   4.20E-008, 
  2.40,   3.58E-008, 
  2.50,   2.39E-008, 
  2.60,   9.90E-009, 
  2.70,   5.39E-009, 
  2.80,   3.78E-009, 
  2.90,   3.18E-009, 
  3.00,   3.35E-009, 
  3.10,   3.91E-009, 
  3.20,   4.91E-009, 
  3.30,   6.50E-009, 
  3.40,   1.00E-008, 
  3.50,   1.81E-008, 
  3.60,   4.61E-008, 
  3.70,   2.18E-007, 
  3.80,   7.31E-007, 
  3.90,   1.13E-006, 
  4.00,   1.46E-006, 
  4.10,   1.69E-006, 
  4.20,   1.36E-006, 
  4.30,   1.36E-006, 
  4.40,   9.92E-007, 
  4.50,   2.95E-007, 
  4.60,   1.87E-008, 
  4.70,   5.83E-009, 
  4.80,   2.28E-009, 
  4.90,   9.54E-010, 
  5.00,   3.45E-010, 
  5.10,   6.37E-011, 
  5.20,  -1.25E-010, 
  5.30,  -2.30E-010, 
  5.40,  -3.34E-010, 
  5.50,  -3.49E-010, 
  5.60,  -3.75E-010, 
  5.70,  -3.97E-010, 
  5.80,  -3.85E-010, 
  5.90,  -3.71E-010, 
  6.00,  -3.47E-010, 
  6.10,  -3.38E-010, 
  6.20,  -3.55E-010, 
  6.30,  -3.09E-010, 
  6.40,  -2.56E-010, 
  6.50,  -1.83E-010, 
  6.60,  -1.75E-010, 
  6.70,  -2.28E-010, 
  6.80,  -1.98E-010, 
