Nov 20, 2019  12:02:56 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.71E-009, 
  1.10,   1.76E-009, 
  1.20,   1.97E-009, 
  1.30,   1.73E-008, 
  1.40,   7.19E-008, 
  1.50,   6.16E-008, 
  1.60,   4.31E-008, 
  1.70,   4.62E-008, 
  1.80,   5.25E-008, 
  1.90,   5.85E-008, 
  2.00,   6.37E-008, 
  2.10,   5.94E-008, 
  2.20,   5.28E-008, 
  2.30,   4.91E-008, 
  2.40,   3.79E-008, 
  2.50,   1.99E-008, 
  2.60,   8.04E-009, 
  2.70,   4.92E-009, 
  2.80,   3.49E-009, 
  2.90,   3.26E-009, 
  3.00,   3.54E-009, 
  3.10,   4.28E-009, 
  3.20,   5.37E-009, 
  3.30,   7.60E-009, 
  3.40,   1.26E-008, 
  3.50,   2.54E-008, 
  3.60,   8.64E-008, 
  3.70,   4.56E-007, 
  3.80,   8.32E-007, 
  3.90,   1.23E-006, 
  4.00,   1.39E-006, 
  4.10,   1.40E-006, 
  4.20,   1.24E-006, 
  4.30,   1.06E-006, 
  4.40,   7.33E-007, 
  4.50,   9.37E-008, 
  4.60,   1.10E-008, 
  4.70,   4.03E-009, 
  4.80,   1.67E-009, 
  4.90,   7.42E-010, 
  5.00,   3.17E-010, 
  5.10,  -5.63E-012, 
  5.20,  -1.20E-010, 
  5.30,  -1.96E-010, 
  5.40,  -1.94E-010, 
  5.50,  -1.55E-010, 
  5.60,  -1.95E-010, 
  5.70,  -1.87E-010, 
  5.80,  -2.14E-010, 
  5.90,  -2.06E-010, 
  6.00,  -2.12E-010, 
  6.10,  -2.39E-010, 
  6.20,  -1.97E-010, 
  6.30,  -1.79E-010, 
  6.40,  -1.54E-010, 
  6.50,  -1.02E-010, 
  6.60,  -8.67E-011, 
  6.70,  -1.38E-010, 
  6.80,  -1.16E-010, 
