Nov 20, 2019  12:08:22 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.89E-009, 
  1.10,   1.94E-009, 
  1.20,   2.23E-009, 
  1.30,   1.11E-008, 
  1.40,   6.99E-008, 
  1.50,   7.01E-008, 
  1.60,   3.63E-008, 
  1.70,   3.31E-008, 
  1.80,   3.84E-008, 
  1.90,   4.32E-008, 
  2.00,   4.96E-008, 
  2.10,   4.83E-008, 
  2.20,   4.50E-008, 
  2.30,   4.02E-008, 
  2.40,   3.37E-008, 
  2.50,   2.13E-008, 
  2.60,   8.93E-009, 
  2.70,   5.02E-009, 
  2.80,   3.35E-009, 
  2.90,   2.93E-009, 
  3.00,   3.14E-009, 
  3.10,   3.51E-009, 
  3.20,   4.48E-009, 
  3.30,   5.92E-009, 
  3.40,   8.95E-009, 
  3.50,   1.64E-008, 
  3.60,   4.34E-008, 
  3.70,   2.29E-007, 
  3.80,   6.42E-007, 
  3.90,   9.78E-007, 
  4.00,   1.21E-006, 
  4.10,   1.35E-006, 
  4.20,   1.10E-006, 
  4.30,   1.07E-006, 
  4.40,   7.83E-007, 
  4.50,   2.01E-007, 
  4.60,   1.49E-008, 
  4.70,   5.06E-009, 
  4.80,   2.07E-009, 
  4.90,   9.69E-010, 
  5.00,   4.28E-010, 
  5.10,   1.16E-010, 
  5.20,  -6.67E-011, 
  5.30,  -1.66E-010, 
  5.40,  -1.81E-010, 
  5.50,  -1.87E-010, 
  5.60,  -2.17E-010, 
  5.70,  -3.06E-010, 
  5.80,  -2.83E-010, 
  5.90,  -2.07E-010, 
  6.00,  -2.25E-010, 
  6.10,  -2.06E-010, 
  6.20,  -1.90E-010, 
  6.30,  -2.01E-010, 
  6.40,  -1.69E-010, 
  6.50,  -1.16E-010, 
  6.60,  -8.80E-011, 
  6.70,  -1.41E-010, 
  6.80,  -1.10E-010, 
