Nov 20, 2019  12:05:39 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.66E-009, 
  1.10,   1.76E-009, 
  1.20,   1.97E-009, 
  1.30,   1.54E-008, 
  1.40,   7.03E-008, 
  1.50,   6.08E-008, 
  1.60,   3.74E-008, 
  1.70,   3.83E-008, 
  1.80,   4.45E-008, 
  1.90,   4.96E-008, 
  2.00,   5.53E-008, 
  2.10,   5.21E-008, 
  2.20,   4.68E-008, 
  2.30,   4.34E-008, 
  2.40,   3.43E-008, 
  2.50,   1.94E-008, 
  2.60,   7.98E-009, 
  2.70,   4.80E-009, 
  2.80,   3.33E-009, 
  2.90,   3.03E-009, 
  3.00,   3.20E-009, 
  3.10,   3.74E-009, 
  3.20,   4.90E-009, 
  3.30,   6.67E-009, 
  3.40,   1.08E-008, 
  3.50,   2.06E-008, 
  3.60,   6.29E-008, 
  3.70,   3.52E-007, 
  3.80,   7.49E-007, 
  3.90,   1.12E-006, 
  4.00,   1.32E-006, 
  4.10,   1.37E-006, 
  4.20,   1.17E-006, 
  4.30,   1.04E-006, 
  4.40,   7.35E-007, 
  4.50,   1.15E-007, 
  4.60,   1.18E-008, 
  4.70,   4.26E-009, 
  4.80,   1.80E-009, 
  4.90,   8.06E-010, 
  5.00,   2.84E-010, 
  5.10,   6.59E-011, 
  5.20,  -5.46E-011, 
  5.30,  -1.55E-010, 
  5.40,  -1.96E-010, 
  5.50,  -1.79E-010, 
  5.60,  -2.05E-010, 
  5.70,  -2.23E-010, 
  5.80,  -2.08E-010, 
  5.90,  -2.11E-010, 
  6.00,  -2.47E-010, 
  6.10,  -2.40E-010, 
  6.20,  -2.04E-010, 
  6.30,  -1.89E-010, 
  6.40,  -1.83E-010, 
  6.50,  -1.64E-010, 
  6.60,  -1.62E-010, 
  6.70,  -1.76E-010, 
  6.80,  -1.68E-010, 
