Nov 20, 2019  12:04:18 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.81E-009, 
  1.10,   1.90E-009, 
  1.20,   2.19E-009, 
  1.30,   1.44E-008, 
  1.40,   7.38E-008, 
  1.50,   6.75E-008, 
  1.60,   4.05E-008, 
  1.70,   4.08E-008, 
  1.80,   4.73E-008, 
  1.90,   5.24E-008, 
  2.00,   5.87E-008, 
  2.10,   5.50E-008, 
  2.20,   4.98E-008, 
  2.30,   4.58E-008, 
  2.40,   3.69E-008, 
  2.50,   2.12E-008, 
  2.60,   8.43E-009, 
  2.70,   4.92E-009, 
  2.80,   3.41E-009, 
  2.90,   3.16E-009, 
  3.00,   3.32E-009, 
  3.10,   3.83E-009, 
  3.20,   4.97E-009, 
  3.30,   6.70E-009, 
  3.40,   1.09E-008, 
  3.50,   2.09E-008, 
  3.60,   6.34E-008, 
  3.70,   3.54E-007, 
  3.80,   7.60E-007, 
  3.90,   1.14E-006, 
  4.00,   1.34E-006, 
  4.10,   1.42E-006, 
  4.20,   1.20E-006, 
  4.30,   1.09E-006, 
  4.40,   7.80E-007, 
  4.50,   1.50E-007, 
  4.60,   1.29E-008, 
  4.70,   4.54E-009, 
  4.80,   1.82E-009, 
  4.90,   7.77E-010, 
  5.00,   2.74E-010, 
  5.10,   3.47E-011, 
  5.20,  -1.33E-010, 
  5.30,  -2.32E-010, 
  5.40,  -2.10E-010, 
  5.50,  -1.88E-010, 
  5.60,  -1.86E-010, 
  5.70,  -1.90E-010, 
  5.80,  -2.26E-010, 
  5.90,  -2.22E-010, 
  6.00,  -2.11E-010, 
  6.10,  -1.52E-010, 
  6.20,  -1.52E-010, 
  6.30,  -7.32E-011, 
  6.40,  -9.06E-011, 
  6.50,  -1.55E-010, 
  6.60,  -1.92E-010, 
  6.70,  -1.50E-010, 
  6.80,  -1.62E-010, 
