Nov 20, 2019  12:01:34 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.65E-009, 
  1.10,   1.73E-009, 
  1.20,   1.92E-009, 
  1.30,   2.03E-008, 
  1.40,   7.00E-008, 
  1.50,   5.72E-008, 
  1.60,   4.72E-008, 
  1.70,   5.26E-008, 
  1.80,   5.90E-008, 
  1.90,   6.60E-008, 
  2.00,   6.97E-008, 
  2.10,   6.46E-008, 
  2.20,   5.68E-008, 
  2.30,   5.27E-008, 
  2.40,   3.97E-008, 
  2.50,   1.88E-008, 
  2.60,   7.55E-009, 
  2.70,   4.74E-009, 
  2.80,   3.46E-009, 
  2.90,   3.35E-009, 
  3.00,   3.67E-009, 
  3.10,   4.65E-009, 
  3.20,   5.80E-009, 
  3.30,   8.42E-009, 
  3.40,   1.44E-008, 
  3.50,   3.06E-008, 
  3.60,   1.17E-007, 
  3.70,   5.56E-007, 
  3.80,   9.11E-007, 
  3.90,   1.33E-006, 
  4.00,   1.47E-006, 
  4.10,   1.42E-006, 
  4.20,   1.31E-006, 
  4.30,   1.06E-006, 
  4.40,   6.80E-007, 
  4.50,   6.13E-008, 
  4.60,   9.68E-009, 
  4.70,   3.60E-009, 
  4.80,   1.57E-009, 
  4.90,   7.29E-010, 
  5.00,   2.18E-010, 
  5.10,  -4.81E-011, 
  5.20,  -1.96E-010, 
  5.30,  -2.45E-010, 
  5.40,  -2.32E-010, 
  5.50,  -2.00E-010, 
  5.60,  -2.09E-010, 
  5.70,  -2.34E-010, 
  5.80,  -2.76E-010, 
  5.90,  -2.82E-010, 
  6.00,  -2.74E-010, 
  6.10,  -2.58E-010, 
  6.20,  -2.76E-010, 
  6.30,  -2.11E-010, 
  6.40,  -1.94E-010, 
  6.50,  -1.99E-010, 
  6.60,  -1.66E-010, 
  6.70,  -1.90E-010, 
  6.80,  -1.72E-010, 
