Nov 20, 2019  12:07:01 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,   1.71E-009, 
  1.10,   1.69E-009, 
  1.20,   2.00E-009, 
  1.30,   1.28E-008, 
  1.40,   7.01E-008, 
  1.50,   6.56E-008, 
  1.60,   3.65E-008, 
  1.70,   3.55E-008, 
  1.80,   4.15E-008, 
  1.90,   4.63E-008, 
  2.00,   5.26E-008, 
  2.10,   5.01E-008, 
  2.20,   4.53E-008, 
  2.30,   4.11E-008, 
  2.40,   3.35E-008, 
  2.50,   2.01E-008, 
  2.60,   8.19E-009, 
  2.70,   4.76E-009, 
  2.80,   3.30E-009, 
  2.90,   2.99E-009, 
  3.00,   3.16E-009, 
  3.10,   3.60E-009, 
  3.20,   4.66E-009, 
  3.30,   6.21E-009, 
  3.40,   9.73E-009, 
  3.50,   1.82E-008, 
  3.60,   5.16E-008, 
  3.70,   2.84E-007, 
  3.80,   6.99E-007, 
  3.90,   1.05E-006, 
  4.00,   1.26E-006, 
  4.10,   1.35E-006, 
  4.20,   1.12E-006, 
  4.30,   1.04E-006, 
  4.40,   7.58E-007, 
  4.50,   1.62E-007, 
  4.60,   1.33E-008, 
  4.70,   4.55E-009, 
  4.80,   1.85E-009, 
  4.90,   8.02E-010, 
  5.00,   2.75E-010, 
  5.10,   4.33E-013, 
  5.20,  -1.69E-010, 
  5.30,  -2.37E-010, 
  5.40,  -3.41E-010, 
  5.50,  -3.86E-010, 
  5.60,  -3.28E-010, 
  5.70,  -3.57E-010, 
  5.80,  -3.65E-010, 
  5.90,  -3.54E-010, 
  6.00,  -3.43E-010, 
  6.10,  -3.21E-010, 
  6.20,  -2.95E-010, 
  6.30,  -3.09E-010, 
  6.40,  -3.20E-010, 
  6.50,  -2.25E-010, 
  6.60,  -1.93E-010, 
  6.70,  -1.88E-010, 
  6.80,  -1.84E-010, 
